char,unicode,encoding,key_hex,glyph_id
坚,U+575A,private,0xF2F5,0x27D
坛,U+575B,private,0xF2F6,0x27E
坝,U+575D,private,0xF2F7,0x27F
坠,U+5760,private,0xF2F8,0x280
坡,U+5761,private,0xF2F9,0x281
坦,U+5766,private,0xF2FA,0x282
垂,U+5782,private,0xF2FB,0x283
垃,U+5783,private,0xF2FC,0x284
型,U+578B,private,0xF340,0x285
垒,U+5792,private,0xF341,0x286
垫,U+57AB,private,0xF342,0x287
垮,U+57AE,private,0xF343,0x288
埋,U+57CB,private,0xF344,0x289
城,U+57CE,private,0xF345,0x28A
域,U+57DF,private,0xF346,0x28B
培,U+57F9,private,0xF347,0x28C
基,U+57FA,private,0xF348,0x28D
埼,U+57FC,private,0xF349,0x28E
堂,U+5802,private,0xF34A,0x28F
堆,U+5806,private,0xF34B,0x290
堕,U+5815,private,0xF34C,0x291
堤,U+5824,private,0xF34D,0x292
堪,U+582A,private,0xF34E,0x293
堵,U+5835,private,0xF34F,0x294
塌,U+584C,private,0xF350,0x295
塑,U+5851,private,0xF351,0x296
塔,U+5854,private,0xF352,0x297
塞,U+585E,private,0xF353,0x298
填,U+586B,private,0xF354,0x299
塾,U+587E,private,0xF355,0x29A
境,U+5883,private,0xF356,0x29B
墙,U+5899,private,0xF357,0x29C
增,U+589E,private,0xF358,0x29D
壁,U+58C1,private,0xF359,0x29E
士,U+58EB,private,0xF35A,0x29F
壮,U+58EE,private,0xF35B,0x2A0
声,U+58F0,private,0xF35C,0x2A1
壶,U+58F6,private,0xF35D,0x2A2
处,U+5904,private,0xF35E,0x2A3
备,U+5907,private,0xF35F,0x2A4
复,U+590D,private,0xF360,0x2A5
夕,U+5915,private,0xF361,0x2A6
外,U+5916,private,0xF362,0x2A7
多,U+591A,private,0xF363,0x2A8
夜,U+591C,private,0xF364,0x2A9
够,U+591F,private,0xF365,0x2AA
大,U+5927,private,0xF366,0x2AB
天,U+5929,private,0xF367,0x2AC
太,U+592A,private,0xF368,0x2AD
夫,U+592B,private,0xF369,0x2AE
失,U+5931,private,0xF36A,0x2AF
头,U+5934,private,0xF36B,0x2B0
夷,U+5937,private,0xF36C,0x2B1
夸,U+5938,private,0xF36D,0x2B2
夹,U+5939,private,0xF36E,0x2B3
夺,U+593A,private,0xF36F,0x2B4
奇,U+5947,private,0xF370,0x2B5
奈,U+5948,private,0xF371,0x2B6
奉,U+5949,private,0xF372,0x2B7
奋,U+594B,private,0xF373,0x2B8
奏,U+594F,private,0xF374,0x2B9
契,U+5951,private,0xF375,0x2BA
奔,U+5954,private,0xF376,0x2BB
奖,U+5956,private,0xF377,0x2BC
套,U+5957,private,0xF378,0x2BD
奢,U+5962,private,0xF379,0x2BE
奥,U+5965,private,0xF37A,0x2BF
女,U+5973,private,0xF37B,0x2C0
奶,U+5976,private,0xF37C,0x2C1
她,U+5979,private,0xF37D,0x2C2
好,U+597D,private,0xF37E,0x2C3
如,U+5982,private,0xF380,0x2C4
妄,U+5984,private,0xF381,0x2C5
妆,U+5986,private,0xF382,0x2C6
妇,U+5987,private,0xF383,0x2C7
妈,U+5988,private,0xF384,0x2C8
妒,U+5992,private,0xF385,0x2C9
妖,U+5996,private,0xF386,0x2CA
妙,U+5999,private,0xF387,0x2CB
妥,U+59A5,private,0xF388,0x2CC
妨,U+59A8,private,0xF389,0x2CD
妹,U+59B9,private,0xF38A,0x2CE
姆,U+59C6,private,0xF38B,0x2CF
始,U+59CB,private,0xF38C,0x2D0
姐,U+59D0,private,0xF38D,0x2D1
姑,U+59D1,private,0xF38E,0x2D2
姓,U+59D3,private,0xF38F,0x2D3
委,U+59D4,private,0xF390,0x2D4
姥,U+59E5,private,0xF391,0x2D5
姨,U+59E8,private,0xF392,0x2D6
姿,U+59FF,private,0xF393,0x2D7
威,U+5A01,private,0xF394,0x2D8
娃,U+5A03,private,0xF395,0x2D9
娇,U+5A07,private,0xF396,0x2DA
娘,U+5A18,private,0xF397,0x2DB
娱,U+5A31,private,0xF398,0x2DC
娶,U+5A36,private,0xF399,0x2DD
婆,U+5A46,private,0xF39A,0x2DE
婉,U+5A49,private,0xF39B,0x2DF
