index,glyph_id,key_hex,key_bytes,char,source,reserved,unicode
406,0x195,0xF1C9,F1C9,原,private,0,U+539F
407,0x196,0xF1CA,F1CA,厢,private,0,U+53A2
408,0x197,0xF1CB,F1CB,厨,private,0,U+53A8
409,0x198,0xF1CC,F1CC,去,private,0,U+53BB
410,0x199,0xF1CD,F1CD,县,private,0,U+53BF
411,0x19A,0xF1CE,F1CE,参,private,0,U+53C2
412,0x19B,0xF1CF,F1CF,又,private,0,U+53C8
413,0x19C,0xF1D0,F1D0,叉,private,0,U+53C9
414,0x19D,0xF1D1,F1D1,及,private,0,U+53CA
415,0x19E,0xF1D2,F1D2,友,private,0,U+53CB
416,0x19F,0xF1D3,F1D3,双,private,0,U+53CC
417,0x1A0,0xF1D4,F1D4,反,private,0,U+53CD
418,0x1A1,0xF1D5,F1D5,发,private,0,U+53D1
419,0x1A2,0xF1D6,F1D6,叔,private,0,U+53D4
420,0x1A3,0xF1D7,F1D7,取,private,0,U+53D6
421,0x1A4,0xF1D8,F1D8,受,private,0,U+53D7
422,0x1A5,0xF1D9,F1D9,变,private,0,U+53D8
423,0x1A6,0xF1DA,F1DA,叙,private,0,U+53D9
424,0x1A7,0xF1DB,F1DB,叛,private,0,U+53DB
425,0x1A8,0xF1DC,F1DC,叠,private,0,U+53E0
426,0x1A9,0xF1DD,F1DD,口,private,0,U+53E3
427,0x1AA,0xF1DE,F1DE,古,private,0,U+53E4
428,0x1AB,0xF1DF,F1DF,句,private,0,U+53E5
429,0x1AC,0xF1E0,F1E0,另,private,0,U+53E6
430,0x1AD,0xF1E1,F1E1,叨,private,0,U+53E8
431,0x1AE,0xF1E2,F1E2,只,private,0,U+53EA
432,0x1AF,0xF1E3,F1E3,叫,private,0,U+53EB
433,0x1B0,0xF1E4,F1E4,召,private,0,U+53EC
434,0x1B1,0xF1E5,F1E5,叭,private,0,U+53ED
435,0x1B2,0xF1E6,F1E6,叮,private,0,U+53EE
436,0x1B3,0xF1E7,F1E7,可,private,0,U+53EF
437,0x1B4,0xF1E8,F1E8,台,private,0,U+53F0
438,0x1B5,0xF1E9,F1E9,史,private,0,U+53F2
439,0x1B6,0xF1EA,F1EA,右,private,0,U+53F3
440,0x1B7,0xF1EB,F1EB,叶,private,0,U+53F6
441,0x1B8,0xF1EC,F1EC,号,private,0,U+53F7
442,0x1B9,0xF1ED,F1ED,司,private,0,U+53F8
443,0x1BA,0xF1EE,F1EE,叹,private,0,U+53F9
444,0x1BB,0xF1EF,F1EF,叽,private,0,U+53FD
445,0x1BC,0xF1F0,F1F0,吃,private,0,U+5403
446,0x1BD,0xF1F1,F1F1,各,private,0,U+5404
447,0x1BE,0xF1F2,F1F2,吆,private,0,U+5406
448,0x1BF,0xF1F3,F1F3,合,private,0,U+5408
449,0x1C0,0xF1F4,F1F4,吉,private,0,U+5409
450,0x1C1,0xF1F5,F1F5,吊,private,0,U+540A
451,0x1C2,0xF1F6,F1F6,同,private,0,U+540C
452,0x1C3,0xF1F7,F1F7,名,private,0,U+540D
453,0x1C4,0xF1F8,F1F8,后,private,0,U+540E
454,0x1C5,0xF1F9,F1F9,吐,private,0,U+5410
455,0x1C6,0xF1FA,F1FA,向,private,0,U+5411
456,0x1C7,0xF1FB,F1FB,吓,private,0,U+5413
457,0x1C8,0xF1FC,F1FC,吗,private,0,U+5417
458,0x1C9,0xF240,F240,君,private,0,U+541B
459,0x1CA,0xF241,F241,吞,private,0,U+541E
460,0x1CB,0xF242,F242,吡,private,0,U+5421
461,0x1CC,0xF243,F243,否,private,0,U+5426
462,0x1CD,0xF244,F244,吧,private,0,U+5427
463,0x1CE,0xF245,F245,吩,private,0,U+5429
464,0x1CF,0xF246,F246,含,private,0,U+542B
465,0x1D0,0xF247,F247,听,private,0,U+542C
466,0x1D1,0xF248,F248,启,private,0,U+542F
467,0x1D2,0xF249,F249,吱,private,0,U+5431
468,0x1D3,0xF24A,F24A,吵,private,0,U+5435
469,0x1D4,0xF24B,F24B,吸,private,0,U+5438
470,0x1D5,0xF24C,F24C,吹,private,0,U+5439
471,0x1D6,0xF24D,F24D,吻,private,0,U+543B
472,0x1D7,0xF24E,F24E,吼,private,0,U+543C
473,0x1D8,0xF24F,F24F,呀,private,0,U+5440
